City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
86,Castro,BR,2021-11-28 01:00:22,-24.7911,-50.0119,63.73,75,1,0.78
87,Lorengau,PG,2021-11-28 01:00:22,-2.0226,147.2712,85.33,66,100,4.03
88,Finnsnes,NO,2021-11-28 01:00:23,69.2296,17.9811,19.36,93,60,5.37
89,Mutoko,ZW,2021-11-28 01:00:23,-17.397,32.2268,56.62,87,9,2.73
90,Hobart,AU,2021-11-28 00:57:26,-42.8794,147.3294,66.06,45,20,9.22
91,Kaitangata,NZ,2021-11-28 00:56:28,-46.2817,169.8464,61.39,54,0,7.4
92,Burdur,TR,2021-11-28 01:01:24,37.7203,30.2908,56.1,62,75,12.66
93,Shepsi,RU,2021-11-28 01:01:24,44.0361,39.1489,58.86,75,100,14.2
94,Gamboma,CG,2021-11-28 01:01:25,-1.8764,15.8644,70.75,94,93,3.33
95,Eureka,US,2021-11-28 00:57:18,40.8021,-124.1637,58.39,95,65,4.18
96,Dalbandin,PK,2021-11-28 01:01:25,28.8947,64.4101,52.52,38,0,7.02
97,Hirara,JP,2021-11-28 01:01:26,24.8,125.2833,73.58,65,100,32.35
98,Pacific Grove,US,2021-11-28 01:01:26,36.6177,-121.9166,66.6,65,0,4.34
99,Bourges,FR,2021-11-28 01:01:27,47.25,2.4167,39.52,98,100,15.5
100,Nerchinskiy Zavod,RU,2021-11-28 01:01:27,51.3088,119.61,14.36,93,100,3.83
101,Punta Arenas,CL,2021-11-28 00:58:37,-53.15,-70.9167,53.71,54,75,6.91
102,Honningsvag,NO,2021-11-28 01:01:28,70.9821,25.9704,24.55,72,27,24.05
103,Marawi,PH,2021-11-28 01:01:28,7.9986,124.2928,77.41,73,100,0.83
104,Upernavik,GL,2021-11-28 01:01:29,72.7868,-56.1549,2.17,96,48,8.55
105,Airai,TL,2021-11-28 01:01:29,-8.9266,125.4092,73.33,61,100,0.96
106,Saskylakh,RU,2021-11-28 01:01:29,71.9167,114.0833,-3.87,93,98,10.27
107,Concepcion Del Oro,MX,2021-11-28 01:01:30,24.6333,-101.4167,58.15,51,100,1.14
108,Nanortalik,GL,2021-11-28 01:00:49,60.1432,-45.2371,42.93,97,100,16.35
109,Basoko,CD,2021-11-28 01:01:30,1.2391,23.616,71.22,89,95,2.06
110,Abonnema,NG,2021-11-28 01:01:31,4.7084,6.7931,77.22,89,73,5.08
111,Marechal Candido Rondon,BR,2021-11-28 01:01:31,-24.5561,-54.0567,69.04,70,0,3.36
112,Grass Valley,US,2021-11-28 01:01:32,39.2191,-121.0611,57.58,67,1,0.0
113,Thompson,CA,2021-11-28 01:01:32,55.7435,-97.8558,16.14,82,34,12.1
114,Sovetskiy,RU,2021-11-28 01:01:32,61.3614,63.5842,20.16,97,81,3.94
115,Georgetown,MY,2021-11-28 00:59:25,5.4112,100.3354,80.53,89,20,0.0
116,Cardston,CA,2021-11-28 01:01:33,49.2,-113.3019,39.43,73,100,8.14
117,Turukhansk,RU,2021-11-28 01:01:33,65.8167,87.9833,2.98,95,100,12.3
118,Kapaa,US,2021-11-28 00:59:32,22.0752,-159.319,76.15,70,1,10.6
119,Litovko,RU,2021-11-28 01:01:34,49.2361,135.1742,12.58,90,92,3.89
120,Hendek,TR,2021-11-28 01:01:34,40.7994,30.7481,61.48,65,100,7.47
121,Emerald,AU,2021-11-28 01:01:35,-23.5333,148.1667,88.56,46,10,11.61
122,Bilibino,RU,2021-11-28 01:01:33,68.0546,166.4372,-24.03,97,62,4.21
123,Bonavista,CA,2021-11-28 01:01:35,48.6499,-53.1147,46.26,96,100,13.11
124,Ternate,ID,2021-11-28 01:01:36,0.8,127.4,83.43,76,41,2.53
125,Siwana,IN,2021-11-28 01:01:37,25.6333,72.4167,66.54,34,1,4.09
126,Ilulissat,GL,2021-11-28 01:01:37,69.2167,-51.1,23.02,63,100,13.8
127,Talcahuano,CL,2021-11-28 01:01:37,-36.7167,-73.1167,54.05,75,0,14.83
128,Atuona,PF,2021-11-28 01:01:38,-9.8,-139.0333,78.53,72,99,19.39
129,Talnakh,RU,2021-11-28 01:01:38,69.4865,88.3972,-0.98,97,100,7.85
130,Urambo,TZ,2021-11-28 01:01:39,-5.0667,32.05,64.35,96,43,0.81
131,Catamarca,AR,2021-11-28 01:00:45,-28.4696,-65.7852,73.99,73,8,1.03
132,Atambua,ID,2021-11-28 01:01:39,-9.1061,124.8925,84.51,62,94,1.03
133,Surgut,RU,2021-11-28 00:59:44,61.25,73.4167,30.38,100,75,17.9
134,Yerbogachen,RU,2021-11-28 01:01:40,61.2767,108.0108,3.29,95,100,7.45
135,Ribeira Grande,PT,2021-11-28 01:01:40,38.5167,-28.7,61.83,64,95,8.37
136,Bairiki,KI,2021-11-28 01:02:41,1.3292,172.9752,81.64,76,97,19.08
137,Qaanaaq,GL,2021-11-28 01:02:41,77.484,-69.3632,-0.54,98,98,1.9
138,Vicuna,CL,2021-11-28 01:02:41,-30.0319,-70.7081,67.03,56,0,1.16
139,Ancud,CL,2021-11-28 01:02:42,-41.8697,-73.8203,49.14,73,12,9.4
140,Sarankhola,BD,2021-11-28 01:02:42,22.3082,89.7897,60.78,78,26,4.29
141,Touros,BR,2021-11-28 01:02:43,-5.1989,-35.4608,81.03,71,82,13.15
142,Fort Nelson,CA,2021-11-28 01:02:43,58.8053,-122.7002,20.16,96,100,2.84
143,Nikolskoye,RU,2021-11-28 01:02:44,59.7035,30.7861,28.29,89,100,11.86
144,Haapiti,PF,2021-11-28 01:02:44,-17.5667,-149.8667,83.93,73,16,15.66
145,Westport,US,2021-11-28 00:59:41,41.1415,-73.3579,35.56,58,19,12.77
146,Sao Filipe,CV,2021-11-28 01:02:44,14.8961,-24.4956,77.16,73,9,12.77
147,Sao Joao Da Barra,BR,2021-11-28 01:02:45,-21.6403,-41.0511,73.53,83,30,7.58
148,Saldanha,ZA,2021-11-28 01:02:45,-33.0117,17.9442,62.6,95,96,13.49
149,Portland,US,2021-11-28 01:01:39,45.5234,-122.6762,61.38,88,90,0.0
150,Abu Dhabi,AE,2021-11-28 01:00:10,24.4667,54.3667,79.27,73,1,12.73
151,Barinas,VE,2021-11-28 01:02:46,8.6226,-70.2075,75.27,84,21,3.47
