City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Khatanga,RU,71.9667,102.5,-23.19,100,97,6.44,overcast clouds
113,Narsaq,GL,60.9167,-46.05,34.43,96,100,9.64,light rain
114,Tasiilaq,GL,65.6145,-37.6368,21.61,94,100,11.9,light snow
115,La Asuncion,VE,11.0333,-63.8628,82.98,71,91,16.13,overcast clouds
116,Lasa,IT,46.6166,10.7002,15.98,95,75,7.36,broken clouds
117,Liyang,CN,29.7057,118.2862,54.97,75,95,5.59,overcast clouds
118,Phangnga,TH,8.4509,98.5298,72.9,99,100,2.26,light rain
119,Maringa,BR,-23.4253,-51.9386,80.78,65,97,13.02,overcast clouds
120,Lingao,CN,19.9103,109.6859,69.31,70,76,5.75,broken clouds
121,Kaitangata,NZ,-46.2817,169.8464,51.35,77,72,5.1,light rain
122,Kemi,FI,65.8596,24.8228,16.18,83,100,7.54,overcast clouds
123,Sinnamary,GF,5.3833,-52.95,82.69,76,97,9.44,overcast clouds
124,Yar-Sale,RU,66.8333,70.8333,2.57,97,100,7.87,overcast clouds
125,Kodiak,US,57.79,-152.4072,35.13,99,100,28.41,moderate rain
126,Provideniya,RU,64.3833,-173.3,-4.9,86,4,8.93,clear sky
127,Yuzawa,JP,39.1667,140.5,40.46,83,50,4.59,scattered clouds
128,Oriximina,BR,-1.7656,-55.8661,87.78,56,64,0.2,broken clouds
129,Denpasar,ID,-8.65,115.2167,76.26,84,91,1.74,overcast clouds
130,Montevideo,UY,-34.8335,-56.1674,65.37,90,100,25.86,overcast clouds
131,Praia Da Vitoria,PT,38.7333,-27.0667,59.5,61,22,6.06,few clouds
132,Werda,BW,-25.2667,23.2833,75.52,53,68,15.99,broken clouds
133,Flinders,AU,-34.5833,150.8552,59.05,92,42,3.49,scattered clouds
134,Sosnovka,RU,56.255,51.2842,34.84,96,100,11.45,snow
135,Berlevag,NO,70.8578,29.0864,19.11,87,100,30.76,overcast clouds
136,Caravelas,BR,-17.7125,-39.2481,84.56,66,3,12.15,clear sky
137,Linxia,CN,35.6003,103.2064,22.71,66,1,0.38,clear sky
138,Huizhou,CN,23.0833,114.4,62.51,69,7,6.96,clear sky
139,Dikson,RU,73.5069,80.5464,-15.07,96,100,18.23,overcast clouds
140,Chitral,PK,35.8462,71.7858,41.59,52,30,6.11,scattered clouds
141,Hilo,US,19.7297,-155.09,72.88,68,13,10.85,few clouds
142,Riberalta,BO,-10.9833,-66.1,90.54,48,81,1.97,broken clouds
143,Broome,US,42.2506,-75.833,30.72,76,85,10.11,overcast clouds
144,Padang,ID,-0.9492,100.3543,76.8,87,85,3.04,overcast clouds
