City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
311,Nacogdoches,US,64.45,clear sky,31.6002,-94.6335,The Fredonia Hotel & Convention Center
312,Chimore,BO,70.54,overcast clouds,-16.9833,-65.1333,Bichito
314,Atar,MR,73.8,scattered clouds,20.5169,-13.0499,Oumou Elghoura
318,Victoria,HK,71.04,clear sky,22.2855,114.1577,Mini Hotel Central
319,Hirara,JP,72.77,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
322,Yenagoa,NG,78.44,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
325,Maralal,KE,60.21,light rain,1.0968,36.698,Ngari Hill Ecolodge
326,Hervey Bay,AU,74.82,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
327,Bengkulu,ID,75.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
330,Puerto Del Rosario,ES,64.36,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
333,Aguimes,ES,62.64,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
335,Alofi,NU,76.77,overcast clouds,-19.0595,-169.9187,Taloa Heights
341,Chenghai,CN,67.05,few clouds,23.4632,116.768,Guangdong Hotel
347,Kahului,US,73.44,light rain,20.8947,-156.47,Maui Seaside Hotel
348,Jensen Beach,US,67.66,clear sky,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
349,Inhambane,MZ,73.45,clear sky,-23.865,35.3833,Oceano
351,Calama,CL,73.8,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
355,Jacksonville,US,64.8,clear sky,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
361,Qui Nhon,VN,76.87,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
362,Yanam,IN,74.55,overcast clouds,16.7333,82.2167,The Regency Hotel
365,Farafangana,MG,73.87,overcast clouds,-22.8167,47.8333,Miarina
369,Bandarbeyla,SO,78.62,clear sky,9.4942,50.8122,JABIR HOTEL
371,Guaraniacu,BR,78.22,overcast clouds,-25.1008,-52.8781,Dalla´s Hotel
374,Yulara,AU,73.06,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
378,Sur,OM,74.08,clear sky,22.5667,59.5289,Sur Plaza Hotel
380,Rocha,UY,67.71,moderate rain,-34.4833,-54.3333,Hotel Arrarte
382,Port Lavaca,US,65.37,few clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
385,Port Hueneme,US,66.27,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
386,Antofagasta,CL,68.32,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
387,Riosucio,CO,72.23,overcast clouds,5.4216,-75.7032,Finca Cafe La Ermita
389,Tiruchchendur,IN,78.89,moderate rain,8.4833,78.1167,Hotel Udhayam International
393,Kerema,PG,78.24,overcast clouds,-7.9631,145.7785,Frena Lodge
394,Ifakara,TZ,75.7,light rain,-8.1333,36.6833,Tanzanian Training Centre for International Health
396,Mahebourg,MU,77.97,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
398,Sambava,MG,76.55,light rain,-14.2667,50.1667,Melrose
405,Chingola,ZM,74.44,broken clouds,-12.529,27.8838,Protea Hotel by Marriott Chingola
406,Mecca,SA,78.96,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
408,Clarence Town,AU,61.2,overcast clouds,-32.5833,151.7833,River Downs Cottage
415,Lagoa,PT,60.57,scattered clouds,39.05,-27.9833,Casa Das Faias
417,Tura,IN,60.01,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
419,Razole,IN,73.47,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
423,Itoman,JP,72.97,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
428,Chickasha,US,68.18,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
432,Rio Grande,BR,66.72,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
435,Port Shepstone,ZA,72.12,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
438,Necochea,AR,64.76,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
439,Gat,IL,74.59,broken clouds,31.61,34.7642,OlusHome
441,Pemba,MZ,79.38,scattered clouds,-12.974,40.5178,Guesthouse Samotina
445,Visalia,US,63.36,clear sky,36.3302,-119.2921,Visalia Marriott at the Convention Center
447,Iquitos,PE,78.3,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
